countries_id,name,region,area,population
152,Saint Vincent and the Grenadines,Caribbean,390,0.11
153,Samoa,Polynesia,2840,0.2
154,San Marino,Southern Europe,60,0.03
155,Sao Tome and Principe,Central Africa,960,0.22
156,Saudi Arabia,Western Asia,2150000,34.27
157,Senegal,Western Africa,197000,16.3
158,Serbia,Southern Europe,88000,6.94
159,Seychelles,Eastern Africa,460,0.1
160,Sierra Leone,Western Africa,72000,7.81
161,Singapore,Southeast Asia,719,5.7
162,Slovakia,Eastern Europe,49000,5.45
163,Slovenia,Southern Europe,21000,2.09
164,Solomon Islands,Melanesia,29000,0.67
165,Somalia,Eastern Africa,638000,15.44
166,South Africa,Southern Africa,1219000,58.56
167,South Korea,East Asia,100000,51.71
168,South Sudan,Northern Africa,644000,11.06
169,Spain,Southern Europe,506000,47.08
170,Sri Lanka,South Asia,66000,21.8
171,Sudan,Northern Africa,1879000,42.81
172,Suriname,South America,164000,0.58
173,Swaziland,Southern Africa,17000,1.15
174,Sweden,Northern Europe,447000,10.29
175,Switzerland,Western Europe,41000,8.57
176,Syria,Western Asia,185000,17.07
177,Taiwan,East Asia,36000,23.6
178,Tajikistan,Central Asia,141000,9.32
179,Tanzania,Eastern Africa,947000,58.01
180,Thailand,Southeast Asia,513000,69.63
181,Togo,Western Africa,57000,8.08
182,Tonga,Polynesia,750,0.1
183,Trinidad and Tobago,Caribbean,5130,1.39
184,Tunisia,Northern Africa,164000,11.69
185,Turkey,Western Asia,785000,83.43
186,Turkmenistan,Central Asia,488000,5.94
187,Tuvalu,Polynesia,30,0.01
188,Uganda,Eastern Africa,242000,44.27
189,Ukraine,Eastern Europe,604000,44.39
190,United Arab Emirates,Western Asia,84000,9.77
191,United Kingdom,British Isles,244000,66.83
192,United States,North America,9832000,328.24
193,Uruguay,South America,176000,3.46
194,Uzbekistan,Central Asia,447000,33.58
195,Vanuatu,Melanesia,12000,0.3
196,Venezuela,South America,912000,28.52
197,Vietnam,Southeast Asia,331000,96.46
198,Western Sahara,Northern Africa,266000,0.65
199,Yemen,Western Asia,528000,29.16
200,Zambia,Eastern Africa,753000,17.86
201,Zimbabwe,Eastern Africa,391000,14.65
