alliances_id,countries_id
0,0
0,7
0,8
0,9
0,10
0,13
0,16
0,19
0,24
0,27
0,29
0,31
0,36
0,39
0,46
0,50
0,58
0,59
0,60
0,61
0,64
0,65
0,76
0,79
0,80
0,83
0,85
0,88
0,90
0,92
0,94
0,95
0,103
0,107
0,108
0,111
0,117
0,123
0,124
0,125
0,126
0,133
0,135
0,136
0,139
0,142
0,144
0,153
0,161
0,164
0,167
0,169
0,170
0,174
0,175
0,177
0,178
0,180
0,182
0,185
0,186
0,187
0,191
0,192
0,194
0,195
0,197
1,8
1,24
1,31
1,35
1,36
1,76
1,80
1,88
1,107
1,114
1,126
1,139
1,141
1,142
1,148
1,161
1,167
1,177
1,180
1,192
1,197
2,24
2,27
2,29
2,80
2,95
2,107
2,142
2,161
2,180
2,197
3,2
3,4
3,18
3,22
3,26
3,28
3,30
3,32
3,34
3,38
3,45
3,47
3,52
3,54
3,55
3,57
3,62
3,63
3,66
3,70
3,71
3,86
3,91
3,98
3,99
3,100
3,105
3,106
3,109
3,112
3,113
3,121
3,122
3,128
3,129
3,146
3,149
3,155
3,157
3,159
3,160
3,165
3,166
3,168
3,171
3,173
3,179
3,181
3,184
3,188
3,198
3,200
3,201
4,2
4,12
4,38
4,47
4,52
4,82
4,89
4,93
4,97
4,100
4,112
4,120
4,134
4,137
4,145
4,156
4,165
4,171
4,176
4,184
4,190
4,199
5,5
5,11
5,14
5,17
5,48
5,68
5,72
5,73
5,87
5,119
5,150
5,151
5,152
5,172
5,183
6,5
6,6
6,11
6,14
6,17
6,20
6,23
6,35
6,37
6,40
6,42
6,48
6,49
6,51
6,53
6,68
6,69
6,72
6,73
6,75
6,87
6,114
6,127
6,138
6,140
6,141
6,150
6,151
6,152
6,172
6,183
6,193
6,196
7,18
7,26
7,33
7,34
7,38
7,47
7,52
7,55
7,63
7,66
7,70
7,71
7,86
7,91
7,99
7,100
7,109
7,112
7,120
7,128
7,129
7,155
7,157
7,160
7,165
7,171
7,181
7,184
8,5
8,8
8,11
8,13
8,14
8,17
8,22
8,24
8,30
8,31
8,43
8,48
8,63
8,66
8,68
8,72
8,79
8,87
8,91
8,92
8,98
8,106
8,107
8,110
8,113
8,121
8,122
8,123
8,126
8,129
8,135
8,139
8,149
8,150
8,151
8,152
8,153
8,159
8,160
8,161
8,164
8,166
8,170
8,173
8,179
8,182
8,183
8,187
8,188
8,191
8,195
8,200
9,18
9,26
9,32
9,63
9,66
9,70
9,71
9,86
9,99
9,109
9,128
9,129
9,157
9,160
9,181
10,9
10,16
10,43
10,56
10,60
10,61
10,65
10,67
10,83
10,85
10,96
10,102
10,103
10,110
10,125
10,144
10,162
10,163
10,169
11,9
11,16
11,25
11,41
11,43
11,44
11,46
11,56
11,60
11,61
11,65
11,67
11,77
11,83
11,85
11,96
11,102
11,103
11,110
11,125
11,143
11,144
11,147
11,162
11,163
11,169
11,174
12,6
12,20
12,23
12,35
12,36
12,42
12,51
12,52
12,69
12,79
12,80
12,114
12,129
12,135
12,140
12,141
12,142
12,166
12,179
12,180
12,185
12,193
12,196
13,6
13,8
13,23
13,31
13,36
13,61
13,65
13,79
13,80
13,85
13,88
13,114
13,148
13,156
13,166
13,167
13,185
13,191
13,192
14,5
14,14
14,17
14,18
14,22
14,36
14,42
14,45
14,49
14,68
14,69
14,72
14,73
14,75
14,79
14,80
14,86
14,87
14,91
14,95
14,105
14,113
14,117
14,121
14,127
14,129
14,135
14,138
14,141
14,142
14,150
14,151
14,152
14,157
14,167
14,170
14,172
14,179
14,183
14,185
14,188
14,196
14,200
14,201
15,31
15,61
15,65
15,85
15,88
15,148
15,191
15,192
16,12
16,93
16,134
16,145
16,156
16,190
17,1
17,16
17,25
17,31
17,41
17,44
17,46
17,56
17,61
17,65
17,67
17,77
17,78
17,85
17,96
17,102
17,103
17,118
17,125
17,133
17,143
17,144
17,147
17,162
17,163
17,169
17,185
17,191
17,192
18,0
18,2
18,4
18,5
18,10
18,11
18,12
18,13
18,14
18,15
18,17
18,18
18,19
18,20
18,22
18,24
18,26
18,27
18,28
18,29
18,30
18,32
18,33
18,34
18,35
18,37
18,38
18,42
18,45
18,47
18,48
18,49
18,50
18,51
18,52
18,54
18,55
18,57
18,59
18,62
18,63
18,66
18,68
18,69
18,70
18,71
18,72
18,73
18,75
18,79
18,80
18,81
18,82
18,86
18,87
18,89
18,91
18,93
18,95
18,97
18,98
18,99
18,100
18,105
18,106
18,107
18,108
18,109
18,112
18,113
18,117
18,120
18,121
18,122
18,124
18,127
18,128
18,129
18,131
18,134
18,135
18,137
18,138
18,139
18,141
18,142
18,145
18,146
18,149
18,150
18,151
18,152
18,155
18,156
18,157
18,159
18,160
18,161
18,165
18,166
18,170
18,171
18,172
18,173
18,176
18,179
18,180
18,181
18,183
18,184
18,186
18,188
18,190
18,194
18,195
18,196
18,197
18,199
18,200
18,201
19,5
19,6
19,11
19,14
19,17
19,20
19,23
19,31
19,35
19,37
19,40
19,42
19,48
19,49
19,51
19,53
19,68
19,69
19,72
19,73
19,75
19,87
19,114
19,127
19,138
19,140
19,141
19,150
19,151
19,152
19,172
19,183
19,192
19,193
19,196
20,8
20,9
20,16
20,31
20,35
20,44
20,46
20,56
20,60
20,61
20,65
20,67
20,77
20,78
20,83
20,84
20,85
20,88
20,96
20,102
20,103
20,114
20,125
20,126
20,133
20,143
20,144
20,162
20,163
20,167
20,169
20,174
20,175
20,185
20,191
20,192
21,0
21,1
21,2
21,10
21,12
21,13
21,18
21,24
21,26
21,30
21,34
21,38
21,47
21,52
21,62
21,63
21,70
21,71
21,72
21,80
21,81
21,82
